epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70446,1.06326,3.43672,1.2237,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,3.13766,1.52336,2.50648,1.72801,0.58198,0.85,0.84748,0.63282,1.66222,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,4.47889,1.30852,2.24715,1.85017,0.57698,0.85,0.84867,0.63544,1.67436,1.05531,1.38372,2.33288e-06,2.33288e-06,2.33288e-06
4,5.73212,1.72438,2.9843,1.89118,0.57562,0.85,0.8505,0.6361,1.6809,1.04959,1.38079,3.46397e-06,3.46397e-06,3.46397e-06
5,6.99316,1.36356,3.15606,1.67179,0.61659,0.92309,0.90478,0.64243,1.67872,1.04624,1.37582,4.5715e-06,4.5715e-06,4.5715e-06
6,8.28713,1.53589,4.11918,1.92008,0.55771,0.85,0.85624,0.63746,1.64687,1.04235,1.35528,5.65548e-06,5.65548e-06,5.65548e-06
7,9.5562,1.11587,1.91942,1.31309,0.56996,0.85,0.85837,0.62959,1.65397,1.04268,1.35898,6.71588e-06,6.71588e-06,6.71588e-06
8,10.9686,0.9697,2.98114,1.34092,0.55982,0.85,0.85926,0.63096,1.653,1.05288,1.36023,7.75273e-06,7.75273e-06,7.75273e-06
9,12.2397,1.12866,2.3805,1.39969,0.57026,0.86556,0.86032,0.62965,1.63311,1.04508,1.3488,8.76602e-06,8.76602e-06,8.76602e-06
10,13.5142,1.16861,2.38774,1.61715,0.57354,0.86667,0.89572,0.6341,1.62354,1.04389,1.34236,9.75574e-06,9.75574e-06,9.75574e-06
11,14.7818,1.11728,1.92695,1.3479,0.54781,0.86667,0.89537,0.64185,1.62276,1.04542,1.34284,1.07219e-05,1.07219e-05,1.07219e-05
12,16.0887,0.96199,1.93937,1.31892,0.57695,0.86667,0.85429,0.63709,1.61502,1.06113,1.33615,1.16645e-05,1.16645e-05,1.16645e-05
13,17.3633,1.03628,3.10509,1.39811,0.6354,0.9413,0.91253,0.65248,1.62077,1.07438,1.33978,1.25835e-05,1.25835e-05,1.25835e-05
14,18.6725,1.01985,2.57857,1.43306,0.65155,0.94049,0.91361,0.65305,1.62249,1.08538,1.33969,1.3479e-05,1.3479e-05,1.3479e-05
15,19.9668,1.20711,2.33856,1.39018,0.63581,0.93873,0.91219,0.64659,1.61024,1.08749,1.33994,1.43509e-05,1.43509e-05,1.43509e-05
16,21.2289,1.08606,1.87275,1.38625,0.64678,0.93825,0.91419,0.64745,1.59321,1.09423,1.33471,1.51993e-05,1.51993e-05,1.51993e-05
17,22.4965,0.89837,1.56688,1.21678,0.65805,0.77291,0.91436,0.64309,1.59673,1.10544,1.34114,1.60241e-05,1.60241e-05,1.60241e-05
18,23.8101,0.99202,1.77723,1.3809,0.65805,0.77291,0.91436,0.64309,1.59673,1.10544,1.34114,1.68253e-05,1.68253e-05,1.68253e-05
19,25.1155,0.923,1.40059,1.21168,0.86383,0.63278,0.87345,0.64078,1.62277,1.13132,1.35573,1.7603e-05,1.7603e-05,1.7603e-05
20,26.3821,0.79276,1.68261,1.23399,0.86383,0.63278,0.87345,0.64078,1.62277,1.13132,1.35573,1.83571e-05,1.83571e-05,1.83571e-05
21,27.6684,0.87628,1.88253,1.31052,0.86759,0.6324,0.85514,0.63954,1.61971,1.15926,1.3551,1.90876e-05,1.90876e-05,1.90876e-05
22,28.938,0.80921,1.59091,1.12577,0.86759,0.6324,0.85514,0.63954,1.61971,1.15926,1.3551,1.97946e-05,1.97946e-05,1.97946e-05
23,30.2151,1.09696,2.2345,1.37667,0.86676,0.65,0.88086,0.63991,1.62154,1.18347,1.35708,2.0478e-05,2.0478e-05,2.0478e-05
24,31.4507,1.04235,2.37558,1.46608,0.86676,0.65,0.88086,0.63991,1.62154,1.18347,1.35708,2.11379e-05,2.11379e-05,2.11379e-05
25,32.7345,0.74777,1.71745,1.13511,0.86206,0.65,0.85536,0.6291,1.64044,1.23728,1.36502,2.17741e-05,2.17741e-05,2.17741e-05
26,33.989,0.87535,1.56177,1.15957,0.86206,0.65,0.85536,0.6291,1.64044,1.23728,1.36502,2.23869e-05,2.23869e-05,2.23869e-05
27,35.456,0.94788,1.60184,1.34761,0.83671,0.65,0.85554,0.61904,1.63676,1.27978,1.3642,2.2976e-05,2.2976e-05,2.2976e-05
28,36.7149,1.0992,1.63839,1.49805,0.83671,0.65,0.85554,0.61904,1.63676,1.27978,1.3642,2.35417e-05,2.35417e-05,2.35417e-05
